code,name,type,classification,description,example_transactions,who_inputs,how_to_impute
1000,"Caja y Bancos (Total)",asset,"Activo","Cuenta resumen de todas las cuentas bancarias y caja","Depósitos, transferencias, cierres diarios","Tesorería / Administración","Seleccionar cuenta bancaria, registrar fecha y monto, adjuntar comprobante, asignar analytic_tag si aplica (evento/marca), guardar."
1001,"Caja Chica",asset,"Activo","Dinero en efectivo para gastos menores","Compra de medios de transporte, pequeños insumos","Persona responsable de caja","1) Anotar fecha y monto. 2) Adjuntar boleta. 3) Seleccionar 1001. 4) Indicar analítica si aplica. 5) Firmar responsable."
1002,"Banco - Cuenta Corriente Banco de Chile",asset,"Activo","Cuenta corriente principal en Banco de Chile","Cobros, pagos, transferencias","Tesorería","Registrar movimiento con fecha, referencia bancaria, adjuntar extracto si corresponde, asignar analytic_tag."
1003,"Banco - Cuenta Corriente Santander",asset,"Activo","Cuenta corriente en Santander","Cobros pagos","Tesorería","Mismo procedimiento que 1002."
1004,"Banco - Plataformas / Cuenta Getnet",asset,"Activo","Cuenta donde se agrupan cobros por plataformas (Getnet/Pay)","Cobros Getnet, conciliaciones","Tesorería","Registrar cobros brutos en 1005 (clearing) y luego mover neto a 1004 al conciliar."
1005,"Clearing - Plataformas (PedidosYa / Rappi / Getnet)",asset,"Activo - Clearing","Cuenta temporal para registrar cobros brutos desde plataformas","Cobros por pedido antes de fees","Tesorería / Operaciones","1) Registrar cobro bruto con referencia plataforma. 2) No marcar como ingreso final. 3) Al recibir extracto: mover tarifas a 7021 y neto a 1002/1004."
1100,"Cuentas por Cobrar - Clientes",asset,"Activo","Clientes con facturas pendientes","Facturas por eventos entregadas a clientes","Administración / Ventas","1) Crear factura con external_id (event_id). 2) Indicar importe, IVA y fecha. 3) Adjuntar cotización/orden. 4) Marcar payment_terms."
1200,"Inventario (Total)",asset,"Activo","Cuenta padre: todos los inventarios (suma)","Recepciones de mercadería","Operaciones / Bodega","No imputar directamente: usar subcuentas 1201/1202/1203 para movimientos."
1201,"Inventario - Insumos Alimentos",asset,"Inventario","Stock de alimentos (ingredientes)","Compra arroz, carne","Operaciones / Bodega","1) Crear recepción de compra con SKU. 2) Adjuntar factura proveedor. 3) Registrar cantidad y costo unitario. 4) Guarda: aumenta stock."
1202,"Inventario - Bebidas",asset,"Inventario","Stock de bebidas (no alcohólicas / alcohólicas si aplica)","Compra gaseosas, vinos","Operaciones / Bodega","Mismo procedimiento que 1201."
