producto	Descripcion	marca	costo
Agua	Aguas formato individual botella 500cc 	Camaleón	500
Algodón de azúcar	Delicado algodón de azúcar en palillo, disponible en colores rosa o azul.	Camaleón	500
Anticuchos	Brocheta Carne 150gr, vacuno asiento, pollo, Longaniza, Cebolla,Pimentón rojo o verde.	Camaleón	500
Arriendo carro.	Arriendo carrito blanco.  24	Camaleón	500
As Camaleón	Delicioso churrasco picado de vacuno acompañado de palta fresca, tomate cubo, cebolla caramelizada y crujientes papas hilo, todo en un suave pan Lengua.	Camaleón	500
As Italiano	Exquisito churrasco picado de vacuno con palta fresca y tomate cubo, servido en un esponjoso pan Lengua.	Camaleón	500
As Luco	Exquisito churrasco picado de vacuno con queso fundido.	Camaleón	500
As veggie camaleon.	Prepracion con producto vegetariano salchicha mr veggie acompañado de palta fresca, tomate cubo, cebolla caramelizada y crujientes papas hilo, todo en un suave pan Lengua.	Camaleón	500
Bebida en lata	Bebidas Variedades en 350 cc formato en lata Variedad sabor, coca-cola, sprite, fanta,  zero y tradicional.	Camaleón	500
Bebida en lata	Bebidas Variedades en 350 cc formato en lata Variedad sabor, coca-cola, sprite, fanta, zero y tradicional	Camaleón	500
Bidón de Agua	Bidón de agua 5 lts.	Camaleón	500
Brocheta de fruta	Palito con plátano, frutilla y marshmallow, bañados en salsa de chocolate.	Camaleón	500
carro de comida extra adicional + operador de servicio a cargo.		Camaleón	500
Cebolla Caramelizada	Cebolla dorada y dulce, cocida lentamente hasta alcanzar su máximo sabor.	Camaleón	500
Cebolla Crispy	Cebolla frita crujiente y dorada, con un toque irresistible.	Camaleón	500
Cervezas botella individual.	Cervezas formato botella 330 ml, marca stella Artois, royal y sol.	Camaleón	500
Champiñon	Champiñones salteados, jugosos y llenos de sabor.	Camaleón	500
Chocolate caliente	Chocolate caliente: Mezcla instantánea de chocolate, preparada con agua caliente. De sabor dulce y textura cremosa.	Camaleón	500
Choripan Angus	"Pan Baguette - Chorizo Angus.
Incluye : Pebre (tomate picado, cebolla, cilantro)."	Camaleón	500
Chucrut	elaboracion de verdura cocida, repollo fermentado .	Camaleón	500
Churrasco Camaleón	Jugoso churrasco de vacuno con queso, palta fresca, tomate laminado y cebolla caramelizada, todo en un delicioso pan brioche.	Camaleón	500
Churrasco Chacarero	Churrasco de vacuno acompañado con poroto verde, tomate fresco laminado y ají verde, servido en un pan brioche.	Camaleón	500
Churrasco Clásico	Churrasco de vacuno acompañado con queso, lechuga crujiente, tomate fresco laminado y pepinillos, servida en un pan brioche.	Camaleón	500
Churrasco Clásico	Churrasco de vacuno con queso, lechuga crujiente, tomate fresco laminado y pepinillos, servida en un pan brioche.	Camaleón	500
Churrasco Italiano	Churrasco de vacuno acompañado de palta fresca y tomate laminado en un pan brioche dorado.	Camaleón	500
Churrasco luco	Churrasco de vacuno acompañado queso fundido en un pan brioche dorado.	Camaleón	500
Churros españoles	Dos churros dorados y espolvoreados con azúcar flor. (2 unidades)	Camaleón	500
Churros españoles  ind.	churro dorados y polvoreados con azúcar flor.	Camaleón	500
Churros Rellenos	Un churro relleno con un toque de dulzura.	Camaleón	500
Donuts	Fresca Donuts tradicional, con una exquisita cubierta de chocolate.	Camaleón	500
Empanadas cóctel	Tres empanaditas con masa crujiente y relleno de queso fundido. (porcion 3 unidades)	Camaleón	500
Empanadas de pino	Deliciosa masa tradicional  empanadas de pino carne picada.	Camaleón	500
Grafica Personalizada		Camaleón	500
Granizado	Hielo frappé, en variedades de sabores y colores en vaso de plástico.	Camaleón	500
Hamburguesa Clásica (Sin burguer)	Hamburguesa jugosa con queso, lechuga crujiente, tomate fresco laminado y pepinillos, servida en un pan brioche.	Camaleón	500
Hamburguesa Especial	Deliciosa hamburguesa con queso mantecoso derretido, palta fresca, tomate laminado, lechuga y cebolla caramelizada, todo en un suave pan brioche.	Camaleón	500
Hamburguesa Italiana	Sabrosa hamburguesa con palta fresca y tomate laminado en un suave pan brioche.	Camaleón	500
Hamburguesa Italiana (Sin burguer)	Sabrosa hamburguesa con palta fresca y tomate laminado en un suave pan brioche.	Camaleón	500
Hamburguesa Italiana Camaleón	Deliciosa hamburguesa con queso derretido, palta fresca, tomate cubo y cebolla caramelizada, todo en un suave pan brioche.	Camaleón	500
