producto,ingredientes,descripcion,marca,costo
Agua,Aguas formato individual botella 500cc,Aguas formato individual botella 500cc,Camaleón,500.0
Algodón de azúcar,"Delicado algodón de azúcar en palillo, disponible en colores rosa o azul.","Delicado algodón de azúcar en palillo, disponible en colores rosa o azul.",Camaleón,500.0
Anticuchos,"Brocheta Carne 150gr, vacuno asiento, pollo, Longaniza, Cebolla,Pimentón rojo o verde.","Brocheta Carne 150gr, vacuno asiento, pollo, Longaniza, Cebolla,Pimentón rojo o verde.",Camaleón,500.0
Arriendo carro.,Arriendo carrito blanco.  24,Arriendo carrito blanco.  24,Camaleón,500.0
As Camaleón,"Delicioso churrasco picado de vacuno acompañado de palta fresca, tomate cubo, cebolla caramelizada y crujientes papas hilo, todo en un suave pan Lengua.","Delicioso churrasco picado de vacuno acompañado de palta fresca, tomate cubo, cebolla caramelizada y crujientes papas hilo, todo en un suave pan Lengua.",Camaleón,500.0
As Italiano,"Exquisito churrasco picado de vacuno con palta fresca y tomate cubo, servido en un esponjoso pan Lengua.","Exquisito churrasco picado de vacuno con palta fresca y tomate cubo, servido en un esponjoso pan Lengua.",Camaleón,500.0
As Luco,Exquisito churrasco picado de vacuno con queso fundido.,Exquisito churrasco picado de vacuno con queso fundido.,Camaleón,500.0
As veggie camaleon.,"Prepracion con producto vegetariano salchicha mr veggie acompañado de palta fresca, tomate cubo, cebolla caramelizada y crujientes papas hilo, todo en un suave pan Lengua.","Prepracion con producto vegetariano salchicha mr veggie acompañado de palta fresca, tomate cubo, cebolla caramelizada y crujientes papas hilo, todo en un suave pan Lengua.",Camaleón,500.0
Bebida en lata,"Bebidas Variedades en 350 cc formato en lata Variedad sabor, coca-cola, sprite, fanta,  zero y tradicional.","Bebidas Variedades en 350 cc formato en lata Variedad sabor, coca-cola, sprite, fanta,  zero y tradicional.",Camaleón,500.0
Bebida en lata,"Bebidas Variedades en 350 cc formato en lata Variedad sabor, coca-cola, sprite, fanta, zero y tradicional","Bebidas Variedades en 350 cc formato en lata Variedad sabor, coca-cola, sprite, fanta, zero y tradicional",Camaleón,500.0
Bidón de Agua,Bidón de agua 5 lts.,Bidón de agua 5 lts.,Camaleón,500.0
Brocheta de fruta,"Palito con plátano, frutilla y marshmallow, bañados en salsa de chocolate.","Palito con plátano, frutilla y marshmallow, bañados en salsa de chocolate.",Camaleón,500.0
carro de comida extra adicional + operador de servicio a cargo.,,,Camaleón,500.0
Cebolla Caramelizada,"Cebolla dorada y dulce, cocida lentamente hasta alcanzar su máximo sabor.","Cebolla dorada y dulce, cocida lentamente hasta alcanzar su máximo sabor.",Camaleón,500.0
Cebolla Crispy,"Cebolla frita crujiente y dorada, con un toque irresistible.","Cebolla frita crujiente y dorada, con un toque irresistible.",Camaleón,500.0
Cervezas botella individual.,"Cervezas formato botella 330 ml, marca stella Artois, royal y sol.","Cervezas formato botella 330 ml, marca stella Artois, royal y sol.",Camaleón,500.0
Champiñon,"Champiñones salteados, jugosos y llenos de sabor.","Champiñones salteados, jugosos y llenos de sabor.",Camaleón,500.0
